"No.","Zone Name","Zone Channel Member","A Channel","B Channel"
"1","DMR Simplex","DMR Simplex 1|DMR Simplex 2","DMR Simplex 1","DMR Simplex 2"
"3","1RBM Isaacs","1RBM AU|1RBM ACT|1RBM NSW|1RBM Vic|1RBM Qld|1RBM SA|1RBM WA|1RBM Tas|1RBM NT|1RBM Local|1RBM State Link|1RBM AU Nets|1RBM AU Repeat 1|1RBM AU Repeat 2|1RBM User Act 1|1RBM User Act 2|1RBM World Eng|1RBM Issacs","1RBM AU","1RBM Issacs"
"5","2RAO Cbolas","2RAO AU|2RAO ACT|2RAO NSW|2RAO Vic|2RAO Qld|2RAO SA|2RAO WA|2RAO Tas|2RAO NT|2RAO Local|2RAO State Link|2RAO AU Nets|2RAO AU Repeat 1|2RAO AU Repeat 2|2RAO User Act 1|2RAO User Act 2|2RAO World Eng|2RAO Cbolas V|2RAO Cbolas U","2RAO AU","2RAO Cbolas U"
"6","2RCG SydneyCty","2RCG AU|2RCG ACT|2RCG NSW|2RCG Vic|2RCG Qld|2RCG SA|2RCG WA|2RCG Tas|2RCG NT|2RCG Local|2RCG State Link|2RCG AU Nets|2RCG AU Repeat 1|2RCG AU Repeat 2|2RCG User Act 1|2RCG User Act 2|2RCG World Eng|2RCG SydneyCty","2RCG AU","2RCG SydneyCty"
"7","2RCV Graft","2RCV AU|2RCV ACT|2RCV NSW|2RCV Vic|2RCV Qld|2RCV SA|2RCV WA|2RCV Tas|2RCV NT|2RCV Local|2RCV State Link|2RCV AU Nets|2RCV AU Repeat 1|2RCV AU Repeat 2|2RCV User Act 1|2RCV User Act 2|2RCV World Eng|2RCV Graft V|2RCV Graft U","2RCV AU","2RCV Graft U"
"8","2RFI Hntr","2RFI AU|2RFI ACT|2RFI NSW|2RFI Vic|2RFI Qld|2RFI SA|2RFI WA|2RFI Tas|2RFI NT|2RFI Local|2RFI State Link|2RFI AU Nets|2RFI AU Repeat 1|2RFI AU Repeat 2|2RFI User Act 1|2RFI User Act 2|2RFI World Eng|2RFI HntrWICEN V|2RFI HntrWICEN U","2RFI AU","2RFI HntrWICEN U"
"9","2RGN MtGray","2RGN AU|2RGN ACT|2RGN NSW|2RGN Vic|2RGN Qld|2RGN SA|2RGN WA|2RGN Tas|2RGN NT|2RGN Local|2RGN State Link|2RGN AU Nets|2RGN AU Repeat 1|2RGN AU Repeat 2|2RGN User Act 1|2RGN User Act 2|2RGN World Eng|2RGN MtGray V|2RGN MtGray 1 U|2RGN MtGray 2 U|2RGN MtGray 3 U","2RGN AU","2RGN MtGray V"
"10","2RGP Toronto","2RGP AU|2RGP BM ACT|2RGP BM NSW|2RGP BM Vic|2RGP BM Qld|2RGP BM SA|2RGP BM WA|2RGP BM Tas|2RGP BM NT|2RGP Local|2RGP BM Pac Rim|2RGP BM World|2RGP BM Wrld Eng|2RGP BM Eur Eng","2RGP AU","2RGP BM NSW"
"11","2RHK Wyee","2RHK AU|2RHK ACT|2RHK NSW|2RHK Vic|2RHK Qld|2RHK SA|2RHK WA|2RHK Tas|2RHK NT|2RHK Local|2RHK State Link|2RHK AU Nets|2RHK AU Repeat 1|2RHK AU Repeat 2|2RHK User Act 1|2RHK User Act 2|2RHK World Eng|2RHK Wyee","2RHK AU","2RHK Wyee"
"12","2RHR HRange","2RHR AU|2RHR ACT|2RHR NSW|2RHR Vic|2RHR Qld|2RHR SA|2RHR WA|2RHR Tas|2RHR NT|2RHR Local|2RHR State Link|2RHR AU Nets|2RHR AU Repeat 1|2RHR AU Repeat 2|2RHR User Act 1|2RHR User Act 2|2RHR World Eng|2RHR HRange V|2RHR HRange U","2RHR AU","2RHR HRange U"
"13","2RHT Chats","2RHT AU|2RHT ACT|2RHT NSW|2RHT Vic|2RHT Qld|2RHT SA|2RHT WA|2RHT Tas|2RHT NT|2RHT Local|2RHT State Link|2RHT AU Nets|2RHT AU Repeat 1|2RHT AU Repeat 2|2RHT User Act 1|2RHT User Act 2|2RHT World Eng|2RHT Chats","2RHT AU","2RHT Chats"
"14","2RLE HCote","2RLE AU|2RLE ACT|2RLE NSW|2RLE Vic|2RLE Qld|2RLE SA|2RLE WA|2RLE Tas|2RLE NT|2RLE Local|2RLE State Link|2RLE AU Nets|2RLE AU Repeat 1|2RLE AU Repeat 2|2RLE User Act 1|2RLE User Act 2|2RLE World Eng|2RLE HCote V|2RLE HCote U","2RLE AU","2RLE HCote U"
"15","2RMP Maddns","2RMP AU|2RMP BM ACT|2RMP BM NSW|2RMP BM Vic|2RMP BM Qld|2RMP BM SA|2RMP BM WA|2RMP BM Tas|2RMP BM NT|2RMP Local|2RMP BM Pac Rim|2RMP Maddns U|2RMP Maddns V|2RMP BM Eur Eng","2RMP AU","2RMP Maddns U"
"16","2RPH Balranald","2RPH AU|2RPH ACT|2RPH NSW|2RPH Vic|2RPH Qld|2RPH SA|2RPH WA|2RPH Tas|2RPH NT|2RPH Local|2RPH State Link|2RPH AU Nets|2RPH AU Repeat 1|2RPH AU Repeat 2|2RPH User Act 1|2RPH User Act 2|2RPH World Eng","2RPH AU","DMR Simplex 1"
"17","2RWI Dural","2RWI AU|2RWI ACT|2RWI NSW|2RWI Vic|2RWI Qld|2RWI SA|2RWI WA|2RWI Tas|2RWI NT|2RWI Local|2RWI State Link|2RWI AU Nets|2RWI AU Repeat 1|2RWI AU Repeat 2|2RWI User Act 1|2RWI User Act 2|2RWI World Eng|2RWI Dural V|2RWI Dural U","2RWI AU","2RWI Dural U"
"19","3RDR Cranbourne","3RDR AU|3RDR ACT|3RDR NSW|3RDR Vic|3RDR Qld|3RDR SA|3RDR WA|3RDR Tas|3RDR NT|3RDR Local|3RDR State Link|3RDR AU Nets|3RDR AU Repeat 1|3RDR AU Repeat 2|3RDR User Act 1|3RDR User Act 2|3RDR World Eng","3RDR AU","3RDR Vic"
"20","3RDS Shepparton","3RDS AU|3RDS ACT|3RDS NSW|3RDS Vic|3RDS Qld|3RDS SA|3RDS WA|3RDS Tas|3RDS NT|3RDS Local|3RDS State Link|3RDS AU Nets|3RDS AU Repeat 1|3RDS AU Repeat 2|3RDS User Act 1|3RDS User Act 2|3RDS World Eng","3RDS AU","3RDS Vic"
"21","3RGL Geelong","3RGL AU|3RGL ACT|3RGL NSW|3RGL Vic|3RGL Qld|3RGL SA|3RGL WA|3RGL Tas|3RGL NT|3RGL Local|3RGL State Link|3RGL AU Nets|3RGL AU Repeat 1|3RGL AU Repeat 2|3RGL User Act 1|3RGL User Act 2|3RGL World Eng","3RGL AU","3RGL Vic"
"22","3RGV Wombat","3RGV AU|3RGV ACT|3RGV NSW|3RGV Vic|3RGV Qld|3RGV SA|3RGV WA|3RGV Tas|3RGV NT|3RGV Local|3RGV State Link|3RGV AU Nets|3RGV AU Repeat 1|3RGV AU Repeat 2|3RGV User Act 1|3RGV User Act 2|3RGV World Eng|3RGV Wombat","3RGV AU","3RGV Wombat"
"23","3RHD Horsham","3RHD AU|3RHD ACT|3RHD BM ACT|3RHD NSW|3RHD BM NSW|3RHD Vic|3RHD BM Vic|3RHD Qld|3RHD BM Qld|3RHD SA|3RHD BM SA|3RHD WA|3RHD BM WA|3RHD Tas|3RHD BM Tas|3RHD NT|3RHD BM NT|3RHD Local|3RHD State Link|3RHD AU Nets|3RHD AU Repeat 1|3RHD AU Repeat 2|3RHD User Act 1|3RHD User Act 2|3RHD BM Pac Rim|3RHD World Eng|3RHD BM World|3RHD BM Wrld Eng|3RHD BM Eur Eng","3RHD AU","3RHD Vic"
"24","3RMC NarWar","3RMC AU|3RMC ACT|3RMC NSW|3RMC Vic|3RMC Qld|3RMC SA|3RMC WA|3RMC Tas|3RMC NT|3RMC Local|3RMC State Link|3RMC AU Nets|3RMC AU Repeat 1|3RMC AU Repeat 2|3RMC User Act 1|3RMC User Act 2|3RMC World Eng|3RMC NarWar V|3RMC NarWar U|3RMC NarWar U2","3RMC AU","3RMC NarWar V"
"25","3RPC Mt Cottrell","3RPS AU|3RPS ACT|3RPS NSW|3RPS Vic|3RPS Qld|3RPS SA|3RPS WA|3RPS Tas|3RPS NT|3RPS Local|3RPS State Link|3RPS AU Nets|3RPS AU Repeat 1|3RPS AU Repeat 2|3RPS User Act 1|3RPS User Act 2|3RPS World Eng","3RPS AU","3RPS Vic"
"26","3RSV NoblPark","3RSV AU|3RSV BM ACT|3RSV BM NSW|3RSV BM Vic|3RSV BM Qld|3RSV BM SA|3RSV BM WA|3RSV BM Tas|3RSV BM NT|3RSV Local|3RSV BM Pac Rim|3RSV NoblPark|3RSV BM Wrld Eng|3RSV BM Eur Eng","3RSV AU","3RSV NoblPark"
"27","3RTA Beulah","3RTA AU|3RTA ACT|3RTA NSW|3RTA Vic|3RTA Qld|3RTA SA|3RTA WA|3RTA Tas|3RTA NT|3RTA Local|3RTA State Link|3RTA AU Nets|3RTA AU Repeat 1|3RTA AU Repeat 2|3RTA User Act 1|3RTA User Act 2|3RTA World Eng|3RTA Beulah","3RTA AU","3RTA Beulah"
"28","3RTE Karingal","3RTE AU|3RTE ACT|3RTE NSW|3RTE Vic|3RTE Qld|3RTE SA|3RTE WA|3RTE Tas|3RTE NT|3RTE Local|3RTE State Link|3RTE AU Nets|3RTE AU Repeat 1|3RTE AU Repeat 2|3RTE User Act 1|3RTE User Act 2|3RTE World Eng","3RTE AU","3RTE Vic"
"29","3RWO BaldH","3RWO AU|3RWO BM ACT|3RWO BM NSW|3RWO BM Vic|3RWO BM Qld|3RWO BM SA|3RWO BM WA|3RWO BM Tas|3RWO BM NT|3RWO Local|3RWO BM Pac Rim|3RWO BaldH V|3RWO BaldH U|3RWO BM Eur Eng","3RWO AU","3RWO BaldH U"
"30","3RWV Warrnambool","3RWV AU|3RWV ACT|3RWV NSW|3RWV Vic|3RWV Qld|3RWV SA|3RWV WA|3RWV Tas|3RWV NT|3RWV Local|3RWV State Link|3RWV AU Nets|3RWV AU Repeat 1|3RWV AU Repeat 2|3RWV User Act 1|3RWV User Act 2|3RWV World Eng","3RWV AU","3RWV Vic"
"31","3RWW Mildura","3RWW AU|3RWW ACT|3RWW NSW|3RWW Vic|3RWW Qld|3RWW SA|3RWW WA|3RWW Tas|3RWW NT|3RWW Local|3RWW State Link|3RWW AU Nets|3RWW AU Repeat 1|3RWW AU Repeat 2|3RWW User Act 1|3RWW User Act 2|3RWW World Eng","3RWW AU","3RWW Vic"
"33","4RBK Tolga","4RBK AU|4RBK ACT|4RBK NSW|4RBK Vic|4RBK Qld|4RBK SA|4RBK WA|4RBK Tas|4RBK NT|4RBK Local|4RBK State Link|4RBK AU Nets|4RBK AU Repeat 1|4RBK AU Repeat 2|4RBK User Act 1|4RBK User Act 2|4RBK World Eng|4RBK Tolga","4RBK AU","4RBK Tolga"
"34","4RBT Wongawlln","4RBT AU|4RBT ACT|4RBT NSW|4RBT Vic|4RBT Qld|4RBT SA|4RBT WA|4RBT Tas|4RBT NT|4RBT Local|4RBT State Link|4RBT AU Nets|4RBT AU Repeat 1|4RBT AU Repeat 2|4RBT User Act 1|4RBT User Act 2|4RBT World Eng|4RBT Wongawlln V|4RBT Wongawlln U","4RBT AU","4RBT Wongawlln U"
"35","4RDB MtCotton","4RDB AU|4RDB ACT|4RDB NSW|4RDB Vic|4RDB Qld|4RDB SA|4RDB WA|4RDB Tas|4RDB NT|4RDB Local|4RDB State Link|4RDB AU Nets|4RDB AU Repeat 1|4RDB AU Repeat 2|4RDB User Act 1|4RDB User Act 2|4RDB World Eng","4RDB AU","4RDB Qld"
"36","4REG MtMowbln","4REG AU|4REG ACT|4REG NSW|4REG Vic|4REG Qld|4REG SA|4REG WA|4REG Tas|4REG NT|4REG Local|4REG State Link|4REG AU Nets|4REG AU Repeat 1|4REG AU Repeat 2|4REG User Act 1|4REG User Act 2|4REG World Eng|4REG MtMowbln V|4REG MtMowblln|4REG MtMowbln U","4REG AU","4REG MtMowbln V"
"37","4RLU MtDunsnane","4RLU AU|4RLU ACT|4RLU NSW|4RLU Vic|4RLU Qld|4RLU SA|4RLU WA|4RLU Tas|4RLU NT|4RLU Local|4RLU State Link|4RLU AU Nets|4RLU AU Repeat 1|4RLU AU Repeat 2|4RLU User Act 1|4RLU User Act 2|4RLU World Eng|4RLU MtDunsnane","4RLU AU","4RLU MtDunsnane"
"38","4RMA MtAlma","4RMA AU|4RMA ACT|4RMA NSW|4RMA Vic|4RMA Qld|4RMA SA|4RMA WA|4RMA Tas|4RMA NT|4RMA Local|4RMA State Link|4RMA AU Nets|4RMA AU Repeat 1|4RMA AU Repeat 2|4RMA User Act 1|4RMA User Act 2|4RMA World Eng|4RMA MtAlma","4RMA AU","4RMA MtAlma"
"39","4RMC MtCootha","4RMC AU|4RMC ACT|4RMC NSW|4RMC Vic|4RMC Qld|4RMC SA|4RMC WA|4RMC Tas|4RMC NT|4RMC Local|4RMC State Link|4RMC AU Nets|4RMC AU Repeat 1|4RMC AU Repeat 2|4RMC User Act 1|4RMC User Act 2|4RMC World Eng|4RMC MtCootha V|4RMC MtCootha U","4RMC AU","4RMC MtCootha U"
"40","4RNX WilkesKn","4RNX AU|4RNX ACT|4RNX NSW|4RNX Vic|4RNX Qld|4RNX SA|4RNX WA|4RNX Tas|4RNX NT|4RNX Local|4RNX State Link|4RNX AU Nets|4RNX AU Repeat 1|4RNX AU Repeat 2|4RNX User Act 1|4RNX User Act 2|4RNX World Eng|4RNX WilkesKn","4RNX AU","4RNX WilkesKn"
"41","4RSA Sarina","4RSA AU|4RSA BM ACT|4RSA BM NSW|4RSA BM Vic|4RSA BM Qld|4RSA BM SA|4RSA BM WA|4RSA BM Tas|4RSA BM NT|4RSA Local|4RSA BM Pac Rim|4RSA Sarina V|4RSA Sarina U|4RSA BM Eur Eng","4RSA AU","4RSA Sarina U"
"42","4RSL NoosaHds","4RSL AU|4RSL ACT|4RSL NSW|4RSL Vic|4RSL Qld|4RSL SA|4RSL WA|4RSL Tas|4RSL NT|4RSL Local|4RSL State Link|4RSL AU Nets|4RSL AU Repeat 1|4RSL AU Repeat 2|4RSL User Act 1|4RSL User Act 2|4RSL World Eng|4RSL NoosaHds V|4RSL NoosaHds U","4RSL AU","4RSL NoosaHds U"
"43","4RTQ MtKynoch","4RTQ AU|4RTQ ACT|4RTQ NSW|4RTQ Vic|4RTQ Qld|4RTQ SA|4RTQ WA|4RTQ Tas|4RTQ NT|4RTQ Local|4RTQ State Link|4RTQ AU Nets|4RTQ AU Repeat 1|4RTQ AU Repeat 2|4RTQ User Act 1|4RTQ User Act 2|4RTQ World Eng|4RTQ MtKynoch V|4RTQ MtKynoch U","4RTQ AU","4RTQ MtKynoch U"
"44","4RVR Knobby","4RVR AU|4RVR ACT|4RVR NSW|4RVR Vic|4RVR Qld|4RVR SA|4RVR WA|4RVR Tas|4RVR NT|4RVR Local|4RVR State Link|4RVR AU Nets|4RVR AU Repeat 1|4RVR AU Repeat 2|4RVR User Act 1|4RVR User Act 2|4RVR World Eng|4RVR Knobby","4RVR AU","4RVR Knobby"
"46","5RDM MurrayBrdge","5RDM AU|5RDM BM ACT|5RDM BM NSW|5RDM BM Vic|5RDM BM Qld|5RDM BM SA|5RDM BM WA|5RDM BM Tas|5RDM BM NT|5RDM Local|5RDM BM Pac Rim|5RDM BM World|5RDM BM Wrld Eng|5RDM BM Eur Eng","5RDM AU","5RDM BM SA"
"47","5RSF Adelaide","5RSF AU|5RSF ACT|5RSF NSW|5RSF Vic|5RSF Qld|5RSF SA|5RSF WA|5RSF Tas|5RSF NT|5RSF Local|5RSF State Link|5RSF AU Nets|5RSF AU Repeat 1|5RSF AU Repeat 2|5RSF User Act 1|5RSF User Act 2|5RSF World Eng","5RSF AU","5RSF SA"
"49","6RDM Perth","6RDM AU|6RDM BM ACT|6RDM BM NSW|6RDM BM Vic|6RDM BM Qld|6RDM BM SA|6RDM BM WA|6RDM BM Tas|6RDM BM NT|6RDM Local|6RDM BM Pac Rim|6RDM BM World|6RDM BM Wrld Eng|6RDM BM Eur Eng","6RDM AU","6RDM BM SA"
